brand,address,description,founding_year,num_of_products
NNF,Address for NNF,Description for NNF,2008,30
Mirinda,Address for Mirinda,Description for Mirinda,1941,47
Dhishoom,Address for Dhishoom,Description for Dhishoom,1993,34
Amrutanjan Fruitnik,Address for Amrutanjan Fruitnik,Description for Amrutanjan Fruitnik,1908,59
Naturally Yours,Address for Naturally Yours,Description for Naturally Yours,2011,57
Merit Vco,Address for Merit Vco,Description for Merit Vco,1949,6
Nice,Address for Nice,Description for Nice,1956,18
Dear Body,Address for Dear Body,Description for Dear Body,1902,38
Spc,Address for Spc,Description for Spc,1991,10
Ok,Address for Ok,Description for Ok,2008,26
Spartan,Address for Spartan,Description for Spartan,1951,88
LuxaDerme,Address for LuxaDerme,Description for LuxaDerme,1983,9
Ayurvedic Technology,Address for Ayurvedic Technology,Description for Ayurvedic Technology,1916,3
Yoni,Address for Yoni,Description for Yoni,1912,76
109°F,Address for 109°F,Description for 109°F,1921,16
National Gardens,Address for National Gardens,Description for National Gardens,1941,39
Hansaplast,Address for Hansaplast,Description for Hansaplast,1988,10
Freshones,Address for Freshones,Description for Freshones,1963,34
Alfa,Address for Alfa,Description for Alfa,1997,98
Piknik,Address for Piknik,Description for Piknik,1984,48
The Bridge Bio,Address for The Bridge Bio,Description for The Bridge Bio,2020,67
OGA,Address for OGA,Description for OGA,1900,43
mJOY,Address for mJOY,Description for mJOY,1925,88
EXPLORE CUISINE,Address for EXPLORE CUISINE,Description for EXPLORE CUISINE,1973,78
Paris,Address for Paris,Description for Paris,1939,18
Colleen,Address for Colleen,Description for Colleen,1925,12
Silicone ,Address for Silicone ,Description for Silicone ,2004,78
NectWorks Honey,Address for NectWorks Honey,Description for NectWorks Honey,1974,21
Chaoba,Address for Chaoba,Description for Chaoba,1950,40
Sriracha,Address for Sriracha,Description for Sriracha,1973,50
Odopic,Address for Odopic,Description for Odopic,2011,86
Murugesan,Address for Murugesan,Description for Murugesan,1950,30
Nonandrai Bholanath,Address for Nonandrai Bholanath,Description for Nonandrai Bholanath,1958,16
Double Pagoda,Address for Double Pagoda,Description for Double Pagoda,2015,14
Muscleblaze,Address for Muscleblaze,Description for Muscleblaze,1922,79
Maharishi Ayurveda ,Address for Maharishi Ayurveda ,Description for Maharishi Ayurveda ,1978,2
Goldrops,Address for Goldrops,Description for Goldrops,2015,25
Alkalen,Address for Alkalen,Description for Alkalen,1915,72
Solo,Address for Solo,Description for Solo,1942,81
Ganesh,Address for Ganesh,Description for Ganesh,1924,94
Baron De Bercy,Address for Baron De Bercy,Description for Baron De Bercy,1922,17
4700BC,Address for 4700BC,Description for 4700BC,1942,93
